0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,stats_date
1,Connecticut,BE,37-3,127.96555621022074,1,91.27109570944104,4,0.9798887624383481,1,37,3,18,2,18-2,0.6971563618643594,0.46174418991341726,0.7631708378550878,0.6971563618643594,0.46174418991341726,0.7631708378550878,0.6411405221415097,0.7593506460119447,111.7079599825963,101.50420048535322,111.7079599825963,101.50420048535322,126.37895353910992,93.95273332373114,132.091422746479,95.49085943259207,0.9765998168873642,22,0.046637054497442265,1565.0,1288.0,1298.1499999999999,1.2055617609675309,0.9921811809112969,0,0.9,11.237101359702013,1,77,64.64591569800653,20240408
2,Houston,B12,32-5,119.6421505946339,15,86.4804203623381,1,0.9766322318708202,2,32,5,15,3,15-3,0.7131224411565713,0.4976407969892688,0.8323588456266394,0.7131224411565713,0.4976407969892688,0.8323588456266394,0.6660045869997622,0.8412750951692384,111.08716735436133,100.1847505052793,111.08716735436133,100.1847505052793,122.31747194495716,89.54710454759834,122.16448793478223,92.24118842308664,0.9619864921446558,20,-0.011355909646341034,1313.0,1122.0,1167.2125,1.124902277862857,0.9612645512278183,0,0.8333333333333334,9.953073337350181,3,203,63.43883674141691,20240408
3,Purdue,B10,34-5,126.01964010305903,3,94.4613177531906,15,0.9649345706291206,3,34,5,17,3,17-3,0.7669563470241924,0.6685725876050113,0.7983182240524147,0.7669563470241924,0.6685725876050113,0.7983182240524147,0.6276690417109749,0.6760043220848935,113.61297768941488,99.7513168971845,113.61297768941488,99.7513168971845,129.3075201863456,98.21048979373913,135.677053584821,104.63552862105149,0.9520123559687089,20,0.06322588351978198,1657.0,1452.0,1364.35,1.2144977461794995,1.0642430461391872,0,0.85,10.6251218121472,2,50,67.1071590089436,20240408
4,Auburn,SEC,27-8,121.0110306494791,10,93.07229375542927,7,0.9534166730919976,4,27,8,13,5,13-5,0.6888620223439094,0.531076962127424,0.7718788868970666,0.6888620223439094,0.531076962127424,0.7718788868970666,0.7235944543312125,0.8426314728458267,111.15163701425561,102.12955353476119,111.15163701425561,102.12955353476119,120.1912502720498,92.92983931898033,113.46251966911026,92.35824344282338,0.91425034135415,10,-0.06722661681894981,1485.0,1258.0,1274.2250000000001,1.1654142714198825,0.9872667699974493,0,0.7222222222222222,5.211273980236317,9,318,69.97215943017838,20240408
5,Iowa St.,B12,29-8,113.61171376551712,53,87.66897824717114,2,0.9517089397610746,5,29,8,13,5,13-5,0.6722037521375966,0.3747377800699209,0.8323469600367315,0.6722037521375966,0.3747377800699209,0.8323469600367315,0.6789035404284712,0.8901708654127064,110.20879625086874,101.08656354247628,110.20879625086874,101.08656354247628,111.63987638877938,88.32909584697627,119.67452398034678,92.21471682347327,0.9524630606625543,15,-0.007178196739175857,1227.0,1156.0,1198.575,1.0237156623490395,0.9644786517322653,0,0.7222222222222222,6.274174002979452,6,185,67.35058311670159,20240408
6,Arizona,P12,27-9,120.50796085031624,12,93.26607455472285,8,0.9501207025467385,6,27,9,15,5,15-5,0.7278229930376501,0.6729844566345559,0.7509677881029313,0.7278229930376501,0.6729844566345559,0.7509677881029313,0.695026331649854,0.6782197510026592,111.52355746418618,100.66068445104428,111.52355746418618,100.66068445104428,124.63308769637453,96.9846194218272,136.95080423871065,100.6352389795309,0.9718969525863376,12,-0.060212581302989454,1755.0,1495.0,1478.1125000000004,1.1873250513746414,1.0114250437635834,0,0.75,4.852626856740572,10,305,72.3104550034627,20240408
7,Tennessee,SEC,27-9,115.91256199989652,31,90.44242747806703,3,0.9454947030364632,7,27,9,14,4,14-4,0.7357989006274921,0.6384403771393277,0.786098007478521,0.7357989006274921,0.6384403771393277,0.786098007478521,0.6444071916603076,0.6929222459783754,113.86548403687,101.38083975805972,113.86548403687,101.38083975805972,118.8094642116403,91.97515717773551,131.11252409946243,105.31328853831849,0.9255208578240057,19,-0.0031397574889063806,1475.0,1263.0,1274.7375,1.1571009717686975,0.9907922219280441,0,0.7777777777777778,5.601465982478101,7,180,69.1943405187836,20240408
8,Duke,ACC,27-9,121.26508516490077,9,95.47300060421287,20,0.9399166034266804,8,27,9,15,5,15-5,0.6918135105972927,0.5266826471492222,0.7520014149214225,0.6918135105972927,0.5266826471492222,0.7520014149214225,0.7057890608847873,0.8001984989773846,110.37980304565022,100.96007601392918,110.37980304565022,100.96007601392918,122.37473182164128,96.7003680031948,133.1532766008096,107.24594609472088,0.9233193563922175,14,-0.03903090948497223,1554.0,1356.0,1332.8,1.165966386554622,1.017406962785114,0,0.75,3.5182139423989613,15,270,66.49878248610447,20240408
9,North Carolina,ACC,29-8,119.19096656451055,18,94.27372662989436,14,0.9368512205477193,9,29,8,17,3,17-3,0.7293835290275915,0.624748571137311,0.7790385535069453,0.7293835290275915,0.624748571137311,0.7790385535069453,0.672365814036085,0.7187418836651497,111.9057912254958,100.42887039690548,111.9057912254958,100.42887039690548,116.16802153483087,90.83783593950322,131.31710101985644,101.94481167053235,0.9484173482583816,16,0.028390511707278354,1573.0,1363.0,1415.7250000000001,1.111091490225856,0.9627575976972929,0,0.85,6.988173861459513,4,106,70.4932432200289,20240408
10,Creighton,BE,25-10,121.67812966584222,8,97.05670960254923,32,0.9308592686965402,10,25,10,14,6,14-6,0.7151911719495586,0.5900348658546574,0.7682371016944093,0.7151911719495586,0.5900348658546574,0.7682371016944093,0.6591238772284006,0.7614860994908654,111.38896977910002,100.14913480978213,111.38896977910002,100.14913480978213,120.38930339118075,95.17303428760636,129.43582939362236,102.06296584846558,0.938908536100121,15,-0.010390028808043184,1574.0,1421.0,1393.225,1.1297529114105762,1.0199357605555457,0,0.7,4.3946062351602695,13,197,66.72952802519823,20240408
