team,opp,spread,game_date,season,team_original,opp_original,rank_team,team_team,conf_team,record_team,adjoe_team,oe Rank_team,adjde_team,de Rank_team,barthag_team,rank.1_team,proj. W_team,Proj. L_team,Pro Con W_team,Pro Con L_team,Con Rec._team,sos_team,ncsos_team,consos_team,Proj. SOS_team,Proj. Noncon SOS_team,Proj. Con SOS_team,elite SOS_team,elite noncon SOS_team,Opp OE_team,Opp DE_team,Opp Proj. OE_team,Opp Proj DE_team,Con Adj OE_team,Con Adj DE_team,Qual O_team,Qual D_team,Qual Barthag_team,Qual Games_team,FUN_team,ConPF_team,ConPA_team,ConPoss_team,ConOE_team,ConDE_team,ConSOSRemain_team,Conf Win%_team,WAB_team,WAB Rk_team,Fun Rk_team,adjt_team,efg_pct_team,Rk_team,efgd_pct_team,Rk_1_team,ftr_team,Rk_2_team,ftrd_team,Rk_3_team,orb_team,Rk_4_team,drb_team,Rk_5_team,tor_team,Rk_6_team,tord_team,Rk_7_team,threep_pct_team,rk_team,threepd_pct_team,rk_1_team,twop_pct_team,rk_2_team,twopd_pct_team,rk_3_team,ft%_team,rk_4_team,ft%D_team,rk_5_team,threep_rate_team,rk_6_team,threed_rate_team,rk_7_team,arate_team,rk_8_team,arateD_team,rk_9_team,rank_opp,team_opp,conf_opp,record_opp,adjoe_opp,oe Rank_opp,adjde_opp,de Rank_opp,barthag_opp,rank.1_opp,proj. W_opp,Proj. L_opp,Pro Con W_opp,Pro Con L_opp,Con Rec._opp,sos_opp,ncsos_opp,consos_opp,Proj. SOS_opp,Proj. Noncon SOS_opp,Proj. Con SOS_opp,elite SOS_opp,elite noncon SOS_opp,Opp OE_opp,Opp DE_opp,Opp Proj. OE_opp,Opp Proj DE_opp,Con Adj OE_opp,Con Adj DE_opp,Qual O_opp,Qual D_opp,Qual Barthag_opp,Qual Games_opp,FUN_opp,ConPF_opp,ConPA_opp,ConPoss_opp,ConOE_opp,ConDE_opp,ConSOSRemain_opp,Conf Win%_opp,WAB_opp,WAB Rk_opp,Fun Rk_opp,adjt_opp,efg_pct_opp,Rk_opp,efgd_pct_opp,Rk_1_opp,ftr_opp,Rk_2_opp,ftrd_opp,Rk_3_opp,orb_opp,Rk_4_opp,drb_opp,Rk_5_opp,tor_opp,Rk_6_opp,tord_opp,Rk_7_opp,threep_pct_opp,rk_opp,threepd_pct_opp,rk_1_opp,twop_pct_opp,rk_2_opp,twopd_pct_opp,rk_3_opp,ft%_opp,rk_4_opp,ft%D_opp,rk_5_opp,threep_rate_opp,rk_6_opp,threed_rate_opp,rk_7_opp,arate_opp,rk_8_opp,arateD_opp,rk_9_opp,adjoe_diff,adjde_diff,barthag_diff,adjt_diff,rank_diff,sos_diff,ncsos_diff,efg_pct_diff,efgd_pct_diff,tor_diff,tord_diff,orb_diff,drb_diff,ftr_diff,ftrd_diff,twop_pct_diff,twopd_pct_diff,threep_pct_diff,threepd_pct_diff,pace_mismatch,combined_pace,three_point_matchup,turnover_matchup,rebounding_matchup,home_ats_last_5,away_ats_last_5,ats_diff_last_5,home_ats_last_10,away_ats_last_10,ats_diff_last_10,home_ats_streak,away_ats_streak,home_rest_days,away_rest_days,rest_advantage,home_games_played,away_games_played,margin_trend,recent_opp_strength,early_season,home_adjoe,away_adjoe,home_adjde,away_adjde,home_barthag,away_barthag
Rutgers,American,-14.5,2025-11-18,2025-2026,Rutgers,American,97.0,Rutgers,B10,3-0,109.60509012499725,112.0,102.35321632514456,81.0,0.6872345113968911,97.0,13.22194396113738,16.77805603886262,5.582122152254041,14.417877847745958,0-0,0.187634710128062,0.187634710128062,0.0,0.6916465673550432,0.3711190826119863,0.8519103097265719,0.6686921700840913,0.8742427937989831,98.14707184373292,111.53216364683416,112.2632597150903,102.20707630949288,0.0,0.0,0.0,0.0,0.0,0.0,0.0724518829428415,0.0,0.0,0.0,0.0,0.0,0.8519103097265719,0.0,0.0945705313007009,80.0,113.0,70.6245166320649,51.1,165.0,44.2,56.0,50.9,32.0,27.3,52.0,44.0,12.0,29.6,143.0,15.4,91.0,20.4,88.0,35.6,113.0,30.8,124.0,50.0,215.0,43.0,38.0,65.2,301.0,70.2,154.0,33.7,292.0,37.8,138.0,51.9,191.0,45.5,69.0,299.0,American,Pat,2-2,101.6735253777308,282.0,111.40786682228212,283.0,0.2589455232994231,299.0,14.85747266477222,16.14252733522778,8.809394150872981,9.19060584912702,0-0,0.4727066617657939,0.4727066617657939,0.0,0.3478773251089416,0.4414303690186644,0.2803112378408083,0.8930241947950068,0.8128300788085178,111.80880512428767,105.62083677303532,101.19471123310969,106.25304604985509,0.0,0.0,99.8713910297321,122.94559825979783,0.0839095991776559,1.0,0.0697966767392651,0.0,0.0,0.0,0.0,0.0,0.2803112378408083,0.0,-0.8326292046910745,187.0,120.0,70.31853885150308,51.9,150.0,57.7,323.0,26.8,317.0,50.6,327.0,21.8,346.0,33.0,220.0,20.6,291.0,18.4,159.0,27.3,297.0,41.9,348.0,62.1,31.0,53.9,226.0,71.4,177.0,78.7,325.0,48.1,42.0,42.0,230.0,43.4,312.0,58.1,269.0,7.9315647472664494,-9.054650497137558,0.42828898809746796,0.30597778056181824,-202.0,-0.2850719516377319,-0.2850719516377319,-0.7999999999999972,-13.5,-5.200000000000001,2.0,22.2,-3.3999999999999986,24.099999999999998,-23.3,-12.100000000000001,-10.899999999999999,8.3,-11.099999999999998,0.30597778056181824,70.47152774178399,-14.399999999999999,-2.9999999999999982,11.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-2,-1,4,6,-2,3,3,0.0,0,1,109.60509012499725,101.6735253777308,102.35321632514456,111.40786682228212,0.6872345113968911,0.2589455232994231
Buffalo,Vermont,3.5,2025-11-18,2025-2026,Buffalo,Vermont,321.0,Buffalo,MAC,4-0,100.83348237945506,300.0,113.08622594687763,325.0,0.2110144476383406,321.0,12.46850183359188,17.531498166408124,5.043685609450787,12.956314390549212,0-0,0.2868184118131443,0.2868184118131443,0.0,0.3921941960139898,0.2997833872015618,0.4538014018889419,0.9069940065650656,0.9316624784550308,104.92926705430624,110.30556309175672,102.40509135739406,105.6414159309294,0.0,0.0,0.0,0.0,0.0,0.0,0.4342423800815829,0.0,0.0,0.0,0.0,0.0,0.4538014018889419,0.0,0.5152398381802881,24.0,3.0,70.22088408392821,53.6,114.0,54.7,273.0,68.4,2.0,41.2,238.0,30.4,196.0,27.3,98.0,13.7,49.0,22.8,29.0,39.7,41.0,37.1,279.0,49.4,232.0,53.8,225.0,68.3,243.0,75.4,269.0,41.4,151.0,47.3,328.0,52.2,182.0,67.6,353.0,201.0,Vermont,AE,4-0,105.24103416121564,204.0,108.48425896277166,195.0,0.4136138527978538,201.0,19.43135085075286,9.568649149247138,11.426757627997777,4.573242372002225,0-0,0.214833931820387,0.214833931820387,0.0,0.2958386216922237,0.3981793619268342,0.2126867702516026,0.938039598139326,0.9031900269142252,103.73476834411149,106.32324333754394,102.21367520723628,110.01141438467032,0.0,0.0,0.0,0.0,0.0,0.0,0.2946237458791868,0.0,0.0,0.0,0.0,0.0,0.2126867702516026,0.0,0.325708955257847,50.0,11.0,66.42211482039303,56.6,62.0,52.400000000000006,217.0,26.6,318.0,36.6,184.0,24.3,318.0,25.6,62.0,15.2,84.0,18.5,153.0,41.8,23.0,39.5,323.0,52.1,173.0,48.8,121.0,85.3,5.0,64.4,44.0,43.0,116.0,35.0,91.0,47.5,264.0,60.7,295.0,-4.407551781760574,4.601966984105971,-0.2025994051595132,3.7987692635351777,120.0,0.07198447999275734,0.07198447999275734,-3.0,2.299999999999997,-1.5,4.300000000000001,6.099999999999998,1.6999999999999993,41.800000000000004,4.600000000000001,-2.700000000000003,5.0,-2.0999999999999943,-2.3999999999999986,3.7987692635351777,68.32149945216062,-1.6000000000000014,-4.800000000000001,4.799999999999997,1.0,0.5,0.5,1.0,0.5,0.5,3,1,7,3,4,3,2,0.0,0,1,100.83348237945506,105.24103416121564,113.08622594687763,108.48425896277166,0.2110144476383406,0.4136138527978538
Kentucky,Michigan St.,-4.5,2025-11-18,2025-2026,Kentucky,Michigan St.,11.0,Kentucky,SEC,3-1,119.59021005632226,16.0,96.10611575587215,12.0,0.9251248979261936,11.0,20.96846661980891,10.03153338019109,11.031766179417994,6.968233820582007,0-0,0.4009507098859903,0.4009507098859903,0.0,0.7206966918162491,0.5155202861393008,0.8688796514718228,0.6306104355497595,0.7490948010179752,105.1969767010545,106.73954897709903,113.93531365244932,101.97762524933388,0.0,0.0,124.34176600733323,108.31319843222322,0.830204849608636,1.0,-0.0676883536314879,0.0,0.0,0.0,0.0,0.0,0.8688796514718228,0.0,-0.0544807680623007,90.0,245.0,72.35771627903686,59.7,18.0,40.9,17.0,30.5,270.0,38.2,210.0,39.0,43.0,20.3,11.0,15.9,110.0,13.1,335.0,34.2,142.0,26.7,52.0,66.2,1.0,41.6,24.0,72.5,158.0,67.4,97.0,43.5,106.0,48.1,337.0,60.6,65.0,61.4,306.0,23.0,Michigan St.,B10,3-0,115.49595689019674,52.0,95.57959986752896,9.0,0.8981353078576771,23.0,20.4225299563415,10.5774700436585,11.350770857492956,8.649229142507044,0-0,0.5104942183344278,0.5104942183344278,0.0,0.7439114645507413,0.5502895372381246,0.8504035245726806,0.6481431128186074,0.7865123227855679,108.96441845334168,107.44328966536432,114.7320969152905,101.97848794161568,0.0,0.0,110.06645601509544,88.99142007512674,0.9201406977724044,1.0,0.149022416520215,0.0,0.0,0.0,0.0,0.0,0.8504035245726806,0.0,0.621898907417283,17.0,56.0,69.7513016832486,47.2,256.0,48.5,126.0,49.2,43.0,27.800000000000004,58.0,45.5,6.0,21.1,16.0,16.2,123.0,17.7,179.0,21.7,352.0,31.0,137.0,54.6,116.0,50.6,163.0,67.0,273.0,66.0,74.0,33.5,296.0,49.7,348.0,78.2,1.0,58.0,264.0,4.094253166125526,0.526515888343198,0.026989590068516423,2.606414595788266,-12.0,-0.10954350844843747,-0.10954350844843747,12.5,-7.600000000000001,-0.29999999999999893,-4.6,-6.5,-0.8000000000000007,-18.700000000000003,10.399999999999999,11.600000000000001,-9.0,12.500000000000004,-4.300000000000001,2.606414595788266,71.05450898114273,10.0,-1.799999999999999,17.9,0.5,0.5,0.0,0.5,0.5,0.0,1,0,4,5,-1,4,0,0.0,0,1,119.59021005632226,115.49595689019674,96.10611575587215,95.57959986752896,0.9251248979261936,0.8981353078576771
Boston College,Hampton,-11.5,2025-11-18,2025-2026,Boston College,Hampton,109.0,Boston College,ACC,2-2,109.13534832231556,118.0,103.63790749105866,105.0,0.6443706929761723,109.0,13.701506843055974,16.298493156944023,5.638878051721224,12.361121948278772,0-0,0.3776785771261108,0.3776785771261108,0.0,0.6274884775372117,0.3654299978176011,0.8021941306836187,0.7503978831590643,0.916597475645338,104.3128203561254,110.46483545947429,110.5774168222828,104.58834553441837,0.0,0.0,0.0,0.0,0.0,0.0,-0.1982773950908342,0.0,0.0,0.0,0.0,0.0,0.8021941306836187,0.0,-1.37949843071996,250.0,338.0,69.35762097011957,46.2,275.0,42.9,37.0,29.4,284.0,33.2,134.0,33.1,138.0,26.3,71.0,12.8,30.0,14.6,294.0,25.6,329.0,32.3,169.0,52.4,163.0,39.6,10.0,61.0,343.0,59.8,7.0,44.7,89.0,37.7,134.0,47.2,268.0,53.8,199.0,228.0,Hampton,CAA,2-3,103.8656286662745,241.0,108.8477144294698,208.0,0.3684678890812266,228.0,15.5360013783388,15.463998621661196,8.686270716340013,9.313729283659988,0-0,0.4062041404116301,0.4062041404116301,0.0,0.3713372015043202,0.3300927530816643,0.4011248586984605,0.906206746650528,0.8926634995101652,109.11844667047052,107.35254124332688,101.52961382118647,105.50959297228668,0.0,0.0,88.93474137437927,115.7666203599869,0.0459902597054503,1.0,-0.0832989982436345,0.0,0.0,0.0,0.0,0.0,0.4011248586984605,0.0,-1.8608739534591665,298.0,259.0,69.05330717096649,42.3,332.0,56.6,304.0,37.7,171.0,40.3,230.0,38.5,50.0,38.3,317.0,19.3,239.0,19.7,110.0,26.5,316.0,39.1,317.0,43.6,319.0,55.2,255.0,77.8,53.0,68.5,116.0,34.7,276.0,39.4,175.0,50.0,221.0,61.1,303.0,5.269719656041062,-5.209806938411148,0.27590280389494576,0.30431379915307843,-119.0,-0.028525563285519306,-0.028525563285519306,3.9000000000000057,-13.700000000000003,-6.5,-5.1,-5.399999999999999,-11.999999999999996,-8.300000000000004,-7.099999999999994,8.799999999999997,-15.600000000000001,-0.8999999999999986,-6.800000000000004,0.30431379915307843,69.20546407054303,10.0,-6.899999999999999,-5.199999999999996,0.5,0.5,0.0,0.5,0.5,0.0,1,-1,3,2,1,4,4,0.0,0,1,109.13534832231556,103.8656286662745,103.63790749105866,108.8477144294698,0.6443706929761723,0.3684678890812266
Columbia,Boston University,-6.5,2025-11-18,2025-2026,Columbia,Boston University,230.0,Columbia,Ivy,2-1,107.23936533150578,159.0,112.5676340430282,315.0,0.3640926219551293,230.0,15.16825736526364,12.83174263473636,6.350056564143371,7.649943435856631,0-0,0.4120902637178198,0.4120902637178198,0.0,0.3652854957874384,0.3077080790672151,0.4228629125076618,0.8981884498333988,0.8943420667750837,106.06267809490048,107.75972827632974,97.6934022583706,101.45519554949117,0.0,0.0,104.8470023578564,114.5250767705183,0.2659333930401052,1.0,0.1494156406195255,0.0,0.0,0.0,0.0,0.0,0.4228629125076618,0.0,-0.1040212748113805,98.0,55.0,69.09868625849377,52.7,135.0,51.2,180.0,35.7,193.0,34.9,161.0,41.2,26.0,24.8,50.0,22.8,333.0,15.9,250.0,37.5,82.0,38.2,302.0,50.9,202.0,48.2,110.0,70.0,198.0,69.5,139.0,33.3,300.0,32.5,47.0,46.2,283.0,67.1,352.0,254.0,Boston University,Pat,2-2,107.20442255070527,160.0,114.2466441578855,341.0,0.324831705355978,254.0,17.01669282167493,13.983307178325074,10.220598925036516,7.779401074963483,0-0,0.4605681370014746,0.4605681370014746,0.0,0.3085705934800421,0.3577272051086401,0.2730685961927212,0.9286070362660298,0.8953507293548965,104.81688542855984,105.77148904570038,99.43475180925915,106.84059222208496,0.0,0.0,93.43004254195216,118.70691160561556,0.0598829445613446,1.0,0.088728617363355,0.0,0.0,0.0,0.0,0.0,0.2730685961927212,0.0,-1.1187832055271845,220.0,96.0,66.1499438990432,55.400000000000006,79.0,57.49999999999999,319.0,29.1,288.0,34.4,155.0,33.300000000000004,134.0,31.5,182.0,20.200000000000003,277.0,14.499999999999998,299.0,37.9,73.0,42.4,351.0,54.2,122.0,53.3,215.0,73.8,124.0,74.4,248.0,46.2,73.0,40.5,194.0,64.4,36.0,57.7,257.0,0.03494278080050606,-1.6790101148572916,0.03926091659915132,2.948742359450577,-24.0,-0.04847787328365477,-0.04847787328365477,-2.700000000000003,-6.29999999999999,2.599999999999998,1.4000000000000021,7.899999999999999,-6.699999999999999,6.600000000000001,0.5,-3.3000000000000043,-5.099999999999994,-0.3999999999999986,-4.199999999999996,2.948742359450577,67.62431507876849,-12.900000000000006,8.300000000000002,9.700000000000003,1.0,0.5,0.5,1.0,0.5,0.5,3,0,5,5,0,3,0,0.0,0,1,107.23936533150578,107.20442255070527,112.5676340430282,114.2466441578855,0.3640926219551293,0.324831705355978
Brown,Holy Cross,-3.5,2025-11-18,2025-2026,Brown,Holy Cross,256.0,Brown,Ivy,0-4,100.70626095116684,303.0,107.41981209547096,168.0,0.3225294515625235,256.0,10.939272785599313,17.060727214400686,5.717829615670143,8.282170384329856,0-0,0.3679115531381781,0.3679115531381781,0.0,0.3935468417924752,0.358385903800873,0.4287077797840775,0.8911204904976338,0.8817397853270058,105.47769211934076,110.59755046289986,98.73713927497468,101.30105852886452,0.0,0.0,0.0,0.0,0.0,0.0,-0.4894605805151362,0.0,0.0,0.0,0.0,0.0,0.4287077797840775,0.0,-3.635171728728638,363.0,364.0,68.49495470669636,49.3,210.0,50.2,158.0,32.1,245.0,38.1,206.0,27.6,258.0,38.7,321.0,20.7,295.0,17.8,177.0,32.6,179.0,31.0,136.0,49.6,225.0,52.3,199.0,68.1,246.0,80.2,342.0,42.4,128.0,35.1,94.0,65.3,31.0,52.3,171.0,317.0,Holy Cross,Pat,1-3,103.0517843868655,256.0,115.36684621253114,355.0,0.2144711345294279,317.0,12.800545048725246,18.19945495127476,7.723192975645692,10.276807024354309,0-0,0.7225199545070081,0.7225199545070081,0.0,0.3497392593171873,0.4390546806829661,0.2852336772196802,0.9046752347878032,0.8420101289516564,114.72282514159068,103.10323331017916,98.18983547520337,102.82626928150049,0.0,0.0,83.26668526305818,116.1846585385784,0.0212270956686561,1.0,0.1416383120487361,0.0,0.0,0.0,0.0,0.0,0.2852336772196802,0.0,-1.1171105641332877,219.0,62.0,69.46700272302252,48.7,222.0,56.7,306.0,30.0,278.0,33.1,132.0,18.9,354.0,27.0,91.0,17.299999999999997,159.0,11.9,352.0,29.6,255.0,28.4,80.0,51.9,176.0,66.0,358.0,69.1,222.0,81.0,351.0,43.2,110.0,39.7,177.0,43.8,308.0,49.2,119.0,-2.3455234356986665,-7.947034117060184,0.1080583170330956,-0.9720480163261556,-61.0,-0.35460840136883004,-0.35460840136883004,0.5999999999999943,-6.5,3.400000000000002,5.9,8.700000000000003,11.700000000000003,2.1000000000000014,5.0,-2.299999999999997,-13.700000000000003,3.0,2.6000000000000014,0.9720480163261556,68.98097871485945,-0.8000000000000043,8.799999999999999,0.6000000000000014,0.25,0.5,-0.25,0.25,0.5,-0.25,-2,-1,4,2,2,4,4,0.0,0,1,100.70626095116684,103.0517843868655,107.41981209547096,115.36684621253114,0.3225294515625235,0.2144711345294279
Drexel,NJIT,-12.5,2025-11-18,2025-2026,Drexel,NJIT,268.0,Drexel,CAA,1-3,100.06401781040609,311.0,108.16949333169852,189.0,0.2899295899035685,268.0,13.06084747591816,16.939152524081845,7.068719801603063,10.931280198396935,0-0,0.4793955350204179,0.4793955350204179,0.0,0.3691863637647443,0.3096169129875293,0.4088993309495543,0.9180741764599484,0.9256604869803158,110.64677200098944,104.64102114015212,104.38562303130944,109.32296789352183,0.0,0.0,0.0,0.0,0.0,0.0,-0.122801633008737,0.0,0.0,0.0,0.0,0.0,0.4088993309495543,0.0,-2.047674926649284,310.0,296.0,66.95081958047658,44.9,303.0,55.400000000000006,288.0,20.0,355.0,43.1,261.0,39.2,39.0,29.5,142.0,20.0,269.0,14.6,295.0,35.4,120.0,42.0,349.0,38.9,354.0,52.1,193.0,59.0,352.0,84.7,363.0,42.1,131.0,29.9,17.0,53.4,161.0,45.1,63.0,331.0,NJIT,AE,3-1,98.0588759592447,344.0,111.04712203797608,271.0,0.1930292877185686,331.0,13.534765345843963,17.46523465415604,7.275208057606203,8.724791942393797,0-0,0.2683126286980601,0.2683126286980601,0.0,0.3291456779857953,0.4242773305489689,0.2399597537078196,0.8955840567821794,0.8271310612828876,101.6421307723622,112.46830807826728,99.81643444800764,106.26346051341724,0.0,0.0,0.0,0.0,0.0,0.0,0.3000006506693561,0.0,0.0,0.0,0.0,0.0,0.2399597537078196,0.0,-0.654313925567271,157.0,10.0,70.61382032190846,51.1,166.0,42.4,34.0,38.0,162.0,32.2,114.0,25.5,296.0,38.1,316.0,20.4,284.0,16.900000000000002,213.0,36.0,105.0,26.3,40.0,48.8,239.0,44.7,57.0,69.0,224.0,65.9,71.0,45.2,81.0,43.2,264.0,51.6,195.0,45.4,68.0,2.005141851161383,-2.8776287062775623,0.0969003021849999,-3.663000741431887,-63.0,0.21108290632235777,0.21108290632235777,-6.200000000000003,13.000000000000007,-0.3999999999999986,-2.3000000000000025,13.700000000000003,-8.600000000000001,-18.0,10.899999999999999,-9.899999999999999,7.399999999999999,-0.6000000000000014,15.7,3.663000741431887,68.78231995119252,-3.1000000000000014,3.099999999999998,1.1000000000000014,0.0,0.75,-0.75,0.0,0.75,-0.75,-3,2,3,3,0,3,4,0.0,0,1,100.06401781040609,98.0588759592447,108.16949333169852,111.04712203797608,0.2899295899035685,0.1930292877185686
UNC Wilmington,East Carolina,-6.5,2025-11-18,2025-2026,UNC Wilmington,East Carolina,131.0,UNC Wilmington,CAA,2-1,108.6512299393956,123.0,106.38542702874356,146.0,0.5602941340270997,131.0,21.457451096874937,9.542548903125068,11.939369349006808,6.060630650993189,0-0,0.2634301069743585,0.2634301069743585,0.0,0.3422980106353518,0.2905243695630531,0.3796900847431232,0.9313016595633844,0.9424657029512368,105.62580727258528,110.87825778769889,100.88833965868992,106.3300736871983,0.0,0.0,0.0,0.0,0.0,0.0,-0.08462648782636,0.0,0.0,0.0,0.0,0.0,0.3796900847431232,0.0,-0.6632045989612493,159.0,261.0,67.88703483901696,43.6,322.0,53.7,248.0,34.599999999999994,207.0,38.9,217.0,41.7,22.0,29.9,151.0,12.7,27.0,16.5,228.0,26.3,320.0,37.7,294.0,45.3,299.0,50.9,166.0,73.9,122.0,71.4,180.0,28.6,344.0,49.1,345.0,32.1,361.0,60.4,290.0,153.0,East Carolina,Amer,2-1,106.18769113646894,180.0,106.76301962730408,155.0,0.4844701959593099,153.0,15.732260598063965,15.26773940193604,7.909793668391272,10.09020633160873,0-0,0.3238493975797044,0.3238493975797044,0.0,0.4887646064668101,0.4031873032186551,0.5505704365904778,0.8530474237167157,0.8555910337324993,109.16445680477337,109.78499752044786,107.72105195177708,107.31023828026365,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002402140337098,0.0,0.0,0.0,0.0,0.0,0.5505704365904778,0.0,-0.6141096736077989,149.0,179.0,70.87237320405414,48.3,234.0,55.60000000000001,291.0,60.0,6.0,56.89999999999999,353.0,33.300000000000004,136.0,26.9,85.0,16.900000000000002,146.0,16.2,237.0,20.0,359.0,34.1,214.0,57.5,71.0,58.3,302.0,66.7,281.0,71.2,177.0,33.3,301.0,37.9,143.0,48.1,255.0,49.1,117.0,2.4635388029266636,-0.3775925985605113,0.07582393806778981,-2.9853383650371796,-22.0,-0.0604192906053459,-0.0604192906053459,-4.699999999999996,-1.9000000000000057,-4.200000000000003,0.3000000000000007,8.399999999999999,3.0,-25.400000000000006,-17.999999999999993,-12.200000000000003,-7.399999999999999,6.300000000000001,3.6000000000000014,2.9853383650371796,69.37970402153556,-4.699999999999996,-3.5,14.800000000000004,0.5,0.5,0.0,0.5,0.5,0.0,0,0,5,5,0,0,0,0.0,0,1,108.6512299393956,106.18769113646894,106.38542702874356,106.76301962730408,0.5602941340270997,0.4844701959593099
Florida St.,Tennessee Martin,-20.5,2025-11-18,2025-2026,Florida St.,Tennessee Martin,74.0,Florida St.,ACC,2-1,112.13358597862432,81.0,101.37233641044035,67.0,0.7613767815455529,74.0,16.54285263252454,14.45714736747546,7.690231741030696,10.3097682589693,0-0,0.4356846245718573,0.4356846245718573,0.0,0.6641694808253463,0.4795835605093655,0.7974815343868881,0.7091837953596483,0.794533875249925,106.5829210317607,107.28594790130296,111.32320415527738,103.39336163693795,0.0,0.0,107.3151272595708,85.87691164446122,0.9284305990053908,1.0,-0.0061576200650996,0.0,0.0,0.0,0.0,0.0,0.7974815343868881,0.0,-0.1186451752755126,100.0,185.0,77.6516692950605,55.2,82.0,46.9,97.0,30.2,274.0,43.3,264.0,31.0,179.0,32.2,196.0,14.000000000000002,53.0,23.8,20.0,36.0,103.0,30.0,104.0,56.4,87.0,48.2,108.0,79.7,31.0,62.8,30.0,52.4,13.0,38.9,162.0,54.6,146.0,50.0,135.0,315.0,Tennessee Martin,OVC,3-0,99.88817215825232,315.0,111.54085985763312,288.0,0.2194444939711361,315.0,15.370529937813297,14.629470062186709,8.478731849629364,11.521268150370632,0-0,0.4803555952189566,0.4803555952189566,0.0,0.3140919614398231,0.3466954896449054,0.297790197337282,0.9235870197870608,0.8786755889922226,111.84648924231796,102.84816237943912,95.85413610727568,101.77444967739636,0.0,0.0,0.0,0.0,0.0,0.0,0.6162718112358616,0.0,0.0,0.0,0.0,0.0,0.297790197337282,0.0,0.8034442655929255,7.0,1.0,71.17220799457122,60.0,16.0,44.6,63.0,61.9,4.0,73.3,365.0,27.3,265.0,28.2,117.0,24.1,347.0,23.5,24.0,40.7,28.0,23.3,20.0,58.8,58.0,51.7,183.0,58.5,354.0,78.4,321.0,51.4,21.0,42.6,243.0,67.3,16.0,65.0,337.0,12.245413820372008,-10.168523447192769,0.5419322875744168,6.479461300489277,-241.0,-0.044670970647099295,-0.044670970647099295,-4.799999999999997,2.299999999999997,-10.1,0.3000000000000007,3.6999999999999993,4.0000000000000036,-31.7,-30.0,-2.3999999999999986,-3.5,-4.700000000000003,6.699999999999999,6.479461300489277,74.41193864481586,1.0,-9.499999999999998,2.8000000000000007,0.5,0.5,0.0,0.5,0.5,0.0,0,0,5,5,0,0,0,0.0,0,1,112.13358597862432,99.88817215825232,101.37233641044035,111.54085985763312,0.7613767815455529,0.2194444939711361
George Mason,Jacksonville,-15.5,2025-11-18,2025-2026,George Mason,Jacksonville,100.0,George Mason,A10,4-0,107.26035462680385,158.0,101.02074976027713,56.0,0.6657959149329413,100.0,19.70526166337773,10.294738336622274,9.653108778625516,8.346891221374483,0-0,0.1963436895154409,0.1963436895154409,0.0,0.5027755113649343,0.3257549130183063,0.6207892435960197,0.863139452959346,0.9300440167817084,100.90579248700442,111.4448473195378,107.88078102422791,107.02839616685269,0.0,0.0,0.0,0.0,0.0,0.0,0.0911430644768831,0.0,0.0,0.0,0.0,0.0,0.6207892435960197,0.0,0.1524403276706101,73.0,93.0,68.78196661477884,48.5,229.0,40.8,16.0,51.2,30.0,32.1,113.0,36.5,78.0,22.5,24.0,18.3,197.0,19.3,120.0,29.2,264.0,26.7,53.0,51.5,184.0,41.5,23.0,74.4,109.0,79.6,336.0,38.7,200.0,51.2,354.0,50.0,229.0,52.6,180.0,253.0,Jacksonville,ASun,2-2,101.66116714498588,283.0,108.28058231213744,191.0,0.3261994436335917,253.0,15.616671597583483,14.383328402416517,10.315161211598458,7.684838788401542,0-0,0.488391720773502,0.488391720773502,0.0,0.354737045633498,0.4668342981168996,0.2800055439778968,0.8925596306936332,0.8085865095732458,111.74927453218277,104.47086820698804,100.84608952696708,106.03586953129737,0.0,0.0,101.55320277065869,104.82569725594432,0.4098137540509915,1.0,0.1050478774721923,0.0,0.0,0.0,0.0,0.0,0.2800055439778968,0.0,-0.8191120789459873,184.0,86.0,69.48179636314103,51.7,154.0,53.3,236.0,23.1,340.0,47.0,308.0,28.8,229.0,29.0,136.0,22.5,329.0,15.8,253.0,31.0,229.0,32.2,162.0,57.0,79.0,56.1,270.0,57.5,355.0,78.2,318.0,50.3,28.0,35.5,100.0,50.0,219.0,60.8,297.0,5.599187481817964,-7.259832551860313,0.3395964712993496,-0.6998297483621911,-153.0,-0.2920480312580611,-0.2920480312580611,-3.200000000000003,-12.5,-4.199999999999999,3.5,7.699999999999999,-6.5,28.1,-14.899999999999999,-5.5,-14.600000000000001,-1.8000000000000007,-5.5000000000000036,0.6998297483621911,69.13188148895993,-11.599999999999994,2.5,7.5,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-2,1,3,3,0,3,3,0.0,0,1,107.26035462680385,101.66116714498588,101.02074976027713,108.28058231213744,0.6657959149329413,0.3261994436335917
